,id,deviceName,eventName,startTime,endTime,duration,totalProduction,productionAtStart,productionAtEnd,Status,speed,orderId,stopId,timestamp
47,47,MiraFlex 1,Running,2024-02-01 07:56:16,2024-02-01 07:59:16,0 days 00:03:00,384.0,108574.0,108958.0,1,,496,0,02/01/2024 07:59:16
48,48,MiraFlex 1,Stop,2024-02-01 07:59:16,2024-02-01 08:16:26,0 days 00:17:10,101.0,108958.0,109059.0,0,,496,3697,02/01/2024 08:16:26
49,49,MiraFlex 1,Running,2024-02-01 08:16:26,2024-02-01 08:17:06,0 days 00:00:40,208.0,109059.0,109267.0,1,,496,0,02/01/2024 08:17:06
50,50,MiraFlex 1,Stop,2024-02-01 08:17:06,2024-02-01 08:37:08,0 days 00:20:02,37.0,109267.0,109304.0,0,,496,3698,02/01/2024 08:37:08
51,51,MiraFlex 1,Running,2024-02-01 08:37:08,2024-02-01 08:39:08,0 days 00:02:00,217.0,109304.0,109521.0,1,,496,0,02/01/2024 08:39:08
52,52,MiraFlex 1,Stop,2024-02-01 08:39:08,2024-02-01 09:41:11,0 days 01:02:03,7.0,109521.0,109528.0,0,,496,3699,02/01/2024 09:41:11
53,53,MiraFlex 1,Running,2024-02-01 09:41:11,2024-02-01 09:43:32,0 days 00:02:21,373.0,109528.0,109901.0,1,,496,0,02/01/2024 09:43:32
54,54,MiraFlex 1,Stop,2024-02-01 09:43:32,2024-02-01 10:14:38,0 days 00:31:06,28.0,109901.0,109929.0,0,,496,3700,02/01/2024 10:14:38
55,55,MiraFlex 1,Running,2024-02-01 10:14:38,2024-02-01 10:18:59,0 days 00:04:21,520.0,109929.0,110449.0,1,,496,0,02/01/2024 10:18:59
56,56,MiraFlex 1,Stop,2024-02-01 10:18:59,2024-02-01 10:26:49,0 days 00:07:50,66.0,110449.0,110515.0,0,,496,3701,02/01/2024 10:26:49
57,57,MiraFlex 1,Running,2024-02-01 10:26:49,2024-02-01 10:53:07,0 days 00:26:18,10480.0,110515.0,120995.0,1,,496,0,02/01/2024 10:53:07
58,58,MiraFlex 1,Stop,2024-02-01 10:53:07,2024-02-01 10:59:28,0 days 00:06:21,2.0,120995.0,120997.0,0,,496,3702,02/01/2024 10:59:28
59,59,MiraFlex 1,Running,2024-02-01 10:59:28,2024-02-01 11:36:08,0 days 00:36:40,14649.0,120997.0,135646.0,1,,496,0,02/01/2024 11:36:08
60,60,MiraFlex 1,Stop,2024-02-01 11:36:08,2024-02-01 12:51:49,0 days 01:15:41,23.0,135646.0,135669.0,0,,496,3703,02/01/2024 12:51:49
61,61,MiraFlex 1,Running,2024-02-01 12:51:49,2024-02-01 12:53:09,0 days 00:01:20,170.0,135669.0,135839.0,1,,496,0,02/01/2024 12:53:09
62,62,MiraFlex 1,Stop,2024-02-01 12:53:09,2024-02-01 12:55:28,0 days 00:02:19,16.0,135839.0,135855.0,0,,496,3704,02/01/2024 12:55:28
63,63,MiraFlex 1,Running,2024-02-01 12:55:28,2024-02-01 12:57:49,0 days 00:02:21,400.0,135855.0,136255.0,1,,496,0,02/01/2024 12:57:49
64,64,MiraFlex 1,Stop,2024-02-01 12:57:49,2024-02-01 13:05:48,0 days 00:07:59,39.0,136255.0,136294.0,0,,496,3705,02/01/2024 13:05:48
65,65,MiraFlex 1,Running,2024-02-01 13:05:48,2024-02-01 13:06:49,0 days 00:01:01,221.0,136294.0,136515.0,1,,496,0,02/01/2024 13:06:49
66,66,MiraFlex 1,Stop,2024-02-01 13:06:49,2024-02-01 13:13:48,0 days 00:06:59,32.0,136515.0,136547.0,0,,496,3706,02/01/2024 13:13:48
67,67,MiraFlex 1,Running,2024-02-01 13:13:48,2024-02-01 13:26:31,0 days 00:12:43,1631926024.0,136547.0,1632062571.0,1,,496,0,02/01/2024 13:26:31
68,68,MiraFlex 1,Stop,2024-02-01 13:26:31,2024-02-01 13:26:50,0 days 00:00:19,-1631920824.0,1632062571.0,141747.0,0,,496,3707,02/01/2024 13:26:50
69,69,MiraFlex 1,Running,2024-02-01 13:26:50,2024-02-01 13:39:49,0 days 00:12:59,1631920824.0,141747.0,1632062571.0,1,,496,0,02/01/2024 13:39:49
70,70,MiraFlex 1,Stop,2024-02-01 13:39:49,2024-02-01 13:40:09,0 days 00:00:20,-1631915474.0,1632062571.0,147097.0,0,,496,3708,02/01/2024 13:40:09
71,71,MiraFlex 1,Running,2024-02-01 13:40:09,2024-02-01 13:56:49,0 days 00:16:40,6612.0,147097.0,153709.0,1,,496,0,02/01/2024 13:56:49
72,72,MiraFlex 1,Stop,2024-02-01 13:56:49,2024-02-01 15:33:10,0 days 01:36:21,5.0,153709.0,153714.0,0,,496,0,02/01/2024 15:33:10
73,73,MiraFlex 1,Running,2024-02-01 15:33:10,2024-02-01 15:40:31,0 days 00:07:21,714.0,153714.0,154428.0,1,,496,0,02/01/2024 15:40:31
74,74,MiraFlex 1,Stop,2024-02-01 15:40:31,2024-02-01 15:46:10,0 days 00:05:39,60.0,154428.0,154488.0,0,,496,3637,02/01/2024 15:46:10
75,75,MiraFlex 1,Running,2024-02-01 15:46:10,2024-02-01 15:46:50,0 days 00:00:40,142.0,154488.0,154630.0,1,,496,0,02/01/2024 15:46:50
76,76,MiraFlex 1,Stop,2024-02-01 15:46:50,2024-02-01 16:07:11,0 days 00:20:21,35.0,154630.0,154665.0,0,,496,3638,02/01/2024 16:07:11
77,77,MiraFlex 1,Running,2024-02-01 16:07:11,2024-02-01 16:07:51,0 days 00:00:40,142.0,154665.0,154807.0,1,,496,0,02/01/2024 16:07:51
78,78,MiraFlex 1,Stop,2024-02-01 16:07:51,2024-02-01 16:09:30,0 days 00:01:39,26.0,154807.0,154833.0,0,,496,3639,02/01/2024 16:09:30
79,79,MiraFlex 1,Running,2024-02-01 16:09:30,2024-02-01 16:10:30,0 days 00:01:00,279.0,154833.0,155112.0,1,,496,0,02/01/2024 16:10:30
80,80,MiraFlex 1,Stop,2024-02-01 16:10:30,2024-02-01 16:47:01,0 days 00:36:31,26.0,155112.0,155138.0,0,,496,3640,02/01/2024 16:47:01
81,81,MiraFlex 1,Running,2024-02-01 16:47:01,2024-02-01 16:53:00,0 days 00:05:59,561.0,155138.0,155699.0,1,,496,0,02/01/2024 16:53:00
82,82,MiraFlex 1,Stop,2024-02-01 16:53:00,2024-02-01 17:02:40,0 days 00:09:40,52.0,155699.0,155751.0,0,,496,3641,02/01/2024 17:02:40
83,83,MiraFlex 1,Running,2024-02-01 17:02:40,2024-02-01 17:03:40,0 days 00:01:00,336.0,155751.0,156087.0,1,,496,0,02/01/2024 17:03:40
84,84,MiraFlex 1,Stop,2024-02-01 17:03:40,2024-02-01 17:09:01,0 days 00:05:21,46.0,156087.0,156133.0,0,,496,3642,02/01/2024 17:09:01
85,85,MiraFlex 1,Running,2024-02-01 17:09:01,2024-02-01 17:09:41,0 days 00:00:40,148.0,156133.0,156281.0,1,,496,0,02/01/2024 17:09:41
86,86,MiraFlex 1,Stop,2024-02-01 17:09:41,2024-02-01 17:43:01,0 days 00:33:20,4.0,156281.0,156285.0,0,,496,3643,02/01/2024 17:43:01
87,87,MiraFlex 1,Running,2024-02-01 17:43:01,2024-02-01 17:45:41,0 days 00:02:40,952.0,156285.0,157237.0,1,,496,0,02/01/2024 17:45:41
88,88,MiraFlex 1,Stop,2024-02-01 17:45:41,2024-02-01 17:46:41,0 days 00:01:00,49.0,157237.0,157286.0,0,,496,3644,02/01/2024 17:46:41
89,89,MiraFlex 1,Running,2024-02-01 17:46:41,2024-02-01 18:01:01,0 days 00:14:20,4797.0,157286.0,162083.0,1,,496,0,02/01/2024 18:01:01
90,90,MiraFlex 1,Stop,2024-02-01 18:01:01,2024-02-01 18:10:41,0 days 00:09:40,91.0,162083.0,162174.0,0,,496,3645,02/01/2024 18:10:41
91,91,MiraFlex 1,Running,2024-02-01 18:10:41,2024-02-01 18:11:01,0 days 00:00:20,53.0,162174.0,162227.0,1,,496,0,02/01/2024 18:11:01
92,92,MiraFlex 1,Stop,2024-02-01 18:11:01,2024-02-01 18:12:01,0 days 00:01:00,6.0,162227.0,162233.0,0,,496,3646,02/01/2024 18:12:01
93,93,MiraFlex 1,Running,2024-02-01 18:12:01,2024-02-01 18:24:21,0 days 00:12:20,1631900338.0,162233.0,1632062571.0,1,,496,0,02/01/2024 18:24:21
94,94,MiraFlex 1,Stop,2024-02-01 18:24:21,2024-02-01 18:24:41,0 days 00:00:20,-1631895848.0,1632062571.0,166723.0,0,,496,3647,02/01/2024 18:24:41
95,95,MiraFlex 1,Running,2024-02-01 18:24:41,2024-02-01 18:28:41,0 days 00:04:00,1345.0,166723.0,168068.0,1,,496,0,02/01/2024 18:28:41
96,96,MiraFlex 1,Stop,2024-02-01 18:28:41,2024-02-01 18:53:01,0 days 00:24:20,84.0,168068.0,168152.0,0,,496,3648,02/01/2024 18:53:01
97,97,MiraFlex 1,Running,2024-02-01 18:53:01,2024-02-01 18:54:01,0 days 00:01:00,245.0,168152.0,168397.0,1,,496,0,02/01/2024 18:54:01
98,98,MiraFlex 1,Stop,2024-02-01 18:54:01,2024-02-01 18:59:41,0 days 00:05:40,10.0,168397.0,168407.0,0,,496,3649,02/01/2024 18:59:41
99,99,MiraFlex 1,Running,2024-02-01 18:59:41,2024-02-01 19:21:22,0 days 00:21:41,7537.0,168407.0,175944.0,1,,496,0,02/01/2024 19:21:22
100,100,MiraFlex 1,Stop,2024-02-01 19:21:22,2024-02-01 19:37:02,0 days 00:15:40,27.0,175944.0,175971.0,0,,496,3650,02/01/2024 19:37:02
101,101,MiraFlex 1,Running,2024-02-01 19:37:02,2024-02-01 19:37:42,0 days 00:00:40,127.0,175971.0,176098.0,1,,496,0,02/01/2024 19:37:42
102,102,MiraFlex 1,Stop,2024-02-01 19:37:42,2024-02-01 19:39:42,0 days 00:02:00,53.0,176098.0,176151.0,0,,496,3651,02/01/2024 19:39:42
103,103,MiraFlex 1,Running,2024-02-01 19:39:42,2024-02-01 19:40:02,0 days 00:00:20,64.0,176151.0,176215.0,1,,496,0,02/01/2024 19:40:02
104,104,MiraFlex 1,Stop,2024-02-01 19:40:02,2024-02-01 19:45:42,0 days 00:05:40,2.0,176215.0,176217.0,0,,496,3652,02/01/2024 19:45:42
105,105,MiraFlex 1,Running,2024-02-01 19:45:42,2024-02-01 19:46:42,0 days 00:01:00,223.0,176217.0,176440.0,1,,496,0,02/01/2024 19:46:42
106,106,MiraFlex 1,Stop,2024-02-01 19:46:42,2024-02-01 19:56:42,0 days 00:10:00,38.0,176440.0,176478.0,0,,496,3653,02/01/2024 19:56:42
107,107,MiraFlex 1,Running,2024-02-01 19:56:42,2024-02-01 19:57:22,0 days 00:00:40,146.0,176478.0,176624.0,1,,496,0,02/01/2024 19:57:22
108,108,MiraFlex 1,Stop,2024-02-01 19:57:22,2024-02-01 20:16:23,0 days 00:19:01,5.0,176624.0,176629.0,0,,496,3654,02/01/2024 20:16:23
109,109,MiraFlex 1,Running,2024-02-01 20:16:23,2024-02-01 20:18:42,0 days 00:02:19,676.0,176629.0,177305.0,1,,496,0,02/01/2024 20:18:42
110,110,MiraFlex 1,Stop,2024-02-01 20:18:42,2024-02-01 21:06:42,0 days 00:48:00,37.0,177305.0,177342.0,0,,496,3655,02/01/2024 21:06:42
111,111,MiraFlex 1,Running,2024-02-01 21:06:42,2024-02-01 21:15:43,0 days 00:09:01,3012.0,177342.0,180354.0,1,,496,0,02/01/2024 21:15:43
112,112,MiraFlex 1,Stop,2024-02-01 21:15:43,2024-02-01 21:27:23,0 days 00:11:40,37.0,180354.0,180391.0,0,,496,3656,02/01/2024 21:27:23
113,113,MiraFlex 1,Running,2024-02-01 21:27:23,2024-02-01 21:51:03,0 days 00:23:40,8306.0,180391.0,188697.0,1,,496,0,02/01/2024 21:51:03
114,114,MiraFlex 1,Stop,2024-02-01 21:51:03,2024-02-01 22:09:03,0 days 00:18:00,45.0,188697.0,188742.0,0,,496,3657,02/01/2024 22:09:03
115,115,MiraFlex 1,Running,2024-02-01 22:09:03,2024-02-01 22:09:25,0 days 00:00:22,65.0,188742.0,188807.0,1,,496,0,02/01/2024 22:09:25
116,116,MiraFlex 1,Stop,2024-02-01 22:09:25,2024-02-01 22:10:23,0 days 00:00:58,41.0,188807.0,188848.0,0,,496,3658,02/01/2024 22:10:23
117,117,MiraFlex 1,Running,2024-02-01 22:10:23,2024-02-01 22:10:45,0 days 00:00:22,27.0,188848.0,188875.0,1,,496,0,02/01/2024 22:10:45
118,118,MiraFlex 1,Stop,2024-02-01 22:10:45,2024-02-01 22:14:03,0 days 00:03:18,59.0,188875.0,188934.0,0,,496,3659,02/01/2024 22:14:03
119,119,MiraFlex 1,Running,2024-02-01 22:14:03,2024-02-01 22:15:03,0 days 00:01:00,208.0,188934.0,189142.0,1,,496,0,02/01/2024 22:15:03
120,120,MiraFlex 1,Stop,2024-02-01 22:15:03,2024-02-01 22:25:43,0 days 00:10:40,6.0,189142.0,189148.0,0,,496,3660,02/01/2024 22:25:43
121,121,MiraFlex 1,Running,2024-02-01 22:25:43,2024-02-01 22:26:03,0 days 00:00:20,93.0,189148.0,189241.0,1,,496,0,02/01/2024 22:26:03
122,122,MiraFlex 1,Stop,2024-02-01 22:26:03,2024-02-01 22:27:23,0 days 00:01:20,12.0,189241.0,189253.0,0,,496,3661,02/01/2024 22:27:23
123,123,MiraFlex 1,Running,2024-02-01 22:27:23,2024-02-01 22:28:03,0 days 00:00:40,117.0,189253.0,189370.0,1,,496,0,02/01/2024 22:28:03
124,124,MiraFlex 1,Stop,2024-02-01 22:28:03,2024-02-01 22:29:03,0 days 00:01:00,3.0,189370.0,189373.0,0,,496,3662,02/01/2024 22:29:03
125,125,MiraFlex 1,Running,2024-02-01 22:29:03,2024-02-01 22:30:43,0 days 00:01:40,451.0,189373.0,189824.0,1,,496,0,02/01/2024 22:30:43
126,126,MiraFlex 1,Stop,2024-02-01 22:30:43,2024-02-02 10:43:39,0 days 12:12:56,29.0,189824.0,189853.0,0,,496,0,02/02/2024 10:43:39
127,127,MiraFlex 1,Running,2024-02-02 10:43:39,2024-02-02 10:46:39,0 days 00:03:00,332.0,189853.0,190185.0,1,,496,0,02/02/2024 10:46:39
128,128,MiraFlex 1,Stop,2024-02-02 10:46:39,2024-02-02 10:49:19,0 days 00:02:40,18.0,190185.0,190203.0,0,,496,3664,02/02/2024 10:49:19
129,129,MiraFlex 1,Running,2024-02-02 10:49:19,2024-02-02 10:51:39,0 days 00:02:20,277.0,190203.0,190480.0,1,,496,0,02/02/2024 10:51:39
130,130,MiraFlex 1,Stop,2024-02-02 10:51:39,2024-02-02 10:53:59,0 days 00:02:20,5.0,190480.0,190485.0,0,,496,3665,02/02/2024 10:53:59
131,131,MiraFlex 1,Running,2024-02-02 10:53:59,2024-02-02 11:02:00,0 days 00:08:01,666.0,190485.0,191151.0,1,,496,0,02/02/2024 11:02:00
132,132,MiraFlex 1,Stop,2024-02-02 11:02:00,2024-02-02 11:05:19,0 days 00:03:19,18.0,191151.0,191169.0,0,,496,3666,02/02/2024 11:05:19
133,133,MiraFlex 1,Running,2024-02-02 11:05:19,2024-02-02 11:10:39,0 days 00:05:20,724.0,191169.0,191893.0,1,,496,0,02/02/2024 11:10:39
134,134,MiraFlex 1,Stop,2024-02-02 11:10:39,2024-02-02 11:16:00,0 days 00:05:21,68.0,191893.0,191961.0,0,,496,3667,02/02/2024 11:16:00
135,135,MiraFlex 1,Running,2024-02-02 11:16:00,2024-02-02 11:16:20,0 days 00:00:20,45.0,191961.0,192006.0,1,,496,0,02/02/2024 11:16:20
136,136,MiraFlex 1,Stop,2024-02-02 11:16:20,2024-02-02 11:17:20,0 days 00:01:00,56.0,192006.0,192062.0,0,,496,3668,02/02/2024 11:17:20
137,137,MiraFlex 1,Running,2024-02-02 11:17:20,2024-02-02 11:18:20,0 days 00:01:00,381.0,192062.0,192443.0,1,,496,0,02/02/2024 11:18:20
138,138,MiraFlex 1,Stop,2024-02-02 11:18:20,2024-02-02 11:33:40,0 days 00:15:20,99.0,192443.0,192542.0,0,,496,3669,02/02/2024 11:33:40
139,139,MiraFlex 1,Running,2024-02-02 11:33:40,2024-02-02 11:34:00,0 days 00:00:20,116.0,192542.0,192658.0,1,,496,0,02/02/2024 11:34:00
140,140,MiraFlex 1,Stop,2024-02-02 11:34:00,2024-02-02 12:13:00,0 days 00:39:00,11.0,192658.0,192669.0,0,,496,3670,02/02/2024 12:13:00
141,141,MiraFlex 1,Running,2024-02-02 12:13:00,2024-02-02 12:14:20,0 days 00:01:20,298.0,192669.0,192967.0,1,,496,0,02/02/2024 12:14:20
142,142,MiraFlex 1,Stop,2024-02-02 12:14:20,2024-02-02 12:27:11,0 days 00:12:51,57.0,192967.0,193024.0,0,,496,3671,02/02/2024 12:27:11
143,143,MiraFlex 1,Running,2024-02-02 12:27:11,2024-02-02 12:28:20,0 days 00:01:09,253.0,193024.0,193277.0,1,,496,0,02/02/2024 12:28:20
144,144,MiraFlex 1,Stop,2024-02-02 12:28:20,2024-02-02 12:50:40,0 days 00:22:20,37.0,193277.0,193314.0,0,,496,3672,02/02/2024 12:50:40
145,145,MiraFlex 1,Running,2024-02-02 12:50:40,2024-02-02 12:51:40,0 days 00:01:00,248.0,193314.0,193562.0,1,,496,0,02/02/2024 12:51:40
146,146,MiraFlex 1,Stop,2024-02-02 12:51:40,2024-02-02 14:42:01,0 days 01:50:21,13.0,193562.0,193575.0,0,,496,3673,02/02/2024 14:42:01
147,147,MiraFlex 1,Running,2024-02-02 14:42:01,2024-02-02 14:42:41,0 days 00:00:40,179.0,193575.0,193754.0,1,,496,0,02/02/2024 14:42:41
148,148,MiraFlex 1,Stop,2024-02-02 14:42:41,2024-02-02 14:51:02,0 days 00:08:21,14.0,193754.0,193768.0,0,,496,3674,02/02/2024 14:51:02
149,149,MiraFlex 1,Running,2024-02-02 14:51:02,2024-02-02 14:51:23,0 days 00:00:21,11.0,193768.0,193779.0,1,,496,0,02/02/2024 14:51:23
150,150,MiraFlex 1,Stop,2024-02-02 14:51:23,2024-02-02 15:14:39,0 days 00:23:16,94.0,193779.0,193873.0,0,,496,0,02/02/2024 15:14:39
151,151,MiraFlex 1,Running,2024-02-02 15:14:39,2024-02-02 15:15:19,0 days 00:00:40,105.0,193873.0,193978.0,1,,496,0,02/02/2024 15:15:19
152,152,MiraFlex 1,Stop,2024-02-02 15:15:19,2024-02-02 15:20:38,0 days 00:05:19,98.0,193978.0,194076.0,0,,496,3675,02/02/2024 15:20:38
153,153,MiraFlex 1,Running,2024-02-02 15:20:38,2024-02-02 15:22:38,0 days 00:02:00,1632062468.0,194076.0,1632256544.0,1,,496,0,02/02/2024 15:22:38
154,154,MiraFlex 1,Stop,2024-02-02 15:22:38,2024-02-02 15:22:59,0 days 00:00:21,-1632061532.0,1632256544.0,195012.0,0,,496,3676,02/02/2024 15:22:59
155,155,MiraFlex 1,Running,2024-02-02 15:22:59,2024-02-02 15:46:58,0 days 00:23:59,1632061338.0,195012.0,1632256350.0,1,,496,0,02/02/2024 15:46:58
156,156,MiraFlex 1,Stop,2024-02-02 15:46:58,2024-02-02 15:47:18,0 days 00:00:20,-1632051568.0,1632256350.0,204782.0,0,,496,3677,02/02/2024 15:47:18
157,157,MiraFlex 1,Running,2024-02-02 15:47:18,2024-02-02 15:57:39,0 days 00:10:21,4123.0,204782.0,208905.0,1,,496,0,02/02/2024 15:57:39
